hydrostatic
testname,hydrostatic
result,PASS
bpressure,10.046448462653544
sample,1
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,4 min:12 sec
durationsecond,252
testtime,12:46:37
testdate,18/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.10473792629892387,0.15341420614938528,0.2004119935912101,0.2457312886243983,0.2876935988403133,0.3279774166475917,0.38504615854123614,0.5126115815976178,0.6267490653849084,0.7308155947203776,0.829846646829937,0.9154497596704037,0.9943389028763239,1.068192568856336,1.1756160830090785,1.3199664301518261,1.4492103456168444,1.5700617990386796,1.6791638056000586,1.778194857709618,1.8705119401846346,1.9561150530251012,2.0316472114137483,2.1441062027924005,2.3002059967956043,2.439520866712442,2.5687647821774604,2.6896162355992956,2.8104676890211344,2.9111772335393304,3.00517280842298,3.1377737087052715,3.3089799343862047,3.4617227435721354,3.5960021362630634,3.7185320820935353,3.8293125810635544,3.9300221255817505,4.0240177004654,4.159975585564965,4.332860303654535,4.487281605249102,4.62156099794003,4.745769436179138,4.851514457923248,4.9488670176241705,5.03782711528191,5.173785000381475,5.351705195696955,5.509483482108795,5.64544136720836,5.762935835812922,5.872037842374304,5.9593194476234075,6.0432440680552375,6.174166475928892,6.347051194018462,6.49643701838712,6.630716411078048,6.746532387273973,6.848920424200809,6.942915999084459,7.026840619516289,7.1627985046158535,7.340718699931333,7.488426031891354,7.6210269321736455,7.736842908369571,7.84258793011368,7.94161898222324,8.02554360265507,8.161501487754634,8.342778667887387,8.495521477073318,8.631479362172882,8.754009308003354,8.859754329747464,8.95542839703975,9.03935301747158,9.176989394979781,9.35994506752117,9.511009384298465,9.645288776989393,9.761104753185318,9.865171282520791,9.95916685740444,10.046448462653544
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,193.0,196.0,199.0,201.0,204.0,207.0,209.0,212.0,214.0,217.0,220.0,222.0,225.0
