hydrostatic
testname,hydrostatic
result,pass
bpressure,4.86393530174716
sample,40632 F
fluidname,
fluidvalue,
mode,null
recordy,4.811902037079426,4.837079423208975,4.86393530174716
recordx,511.0,514.0,516.0
duration,8 min:37 sec
durationsecond,517
testtime,18:37:11
testdate,06/02/2021
customerid,N0048
indistry,
application,
splate,
ans,0.11044480048829008,0.1272297245746561,0.1456931410696587,0.1675135423819345,0.1910124361028469,0.2195468070496691,0.24808117799649132,0.28165102616922333,0.32025635156786514,0.36389715419241675,0.40921644922560496,0.4562142366674298,0.5032120241092546,0.5535667963683544,0.6072785534447256,0.6609903105210968,0.7163805600061046,0.7717708094911124,0.8305180437933934,0.8875867856870379,0.9480125123979555,1.0101167315175097,1.070542458228429,1.1309681849393467,1.1897154192416277,1.2501411459525453,1.3088883802548263,1.3676356145571074,1.4247043564507518,1.4834515907530328,1.537163347829404,1.5942320897230484,1.6445868619821464,1.696620126649881,1.7486533913176157,1.7973296711680806,1.8443274586099054,1.8896467536430936,1.9332875562676453,1.9769283588921969,2.018890669108112,2.0574959945067537,2.094422827496759,2.131349660486764,2.1682764934767693,2.2018463416495013,2.2354161898222333,2.265629053177692,2.2975204089417876,2.3277332722972464,2.354589150835432,2.3814450293736176,2.40997940032044,2.433478294041352,2.460334172579538,2.48383306630045,2.5073319600213626,2.530830853742275,2.552651255054551,2.5778286411841,2.5962920576791024,2.6164339665827416,2.6348973830777442,2.6550392919813834,2.6751812008850226,2.695323109788662,2.7104295414663913,2.728892957961394,2.749034866865033,2.765819790951399,2.7842832074464017,2.802746623941408,2.8178530556191372,2.83631647211414,2.8514229037918692,2.869886320286872,2.8849927519646013,2.9017776760509673,2.9185626001373333,2.9353475242236993,2.9504539559014287,2.9672388799877947,2.982345311665524,2.99913023575189,3.0142366674296195,3.029343099107349,3.0478065156023515,3.066269932097354,3.0847333485923567,3.104875257495996,3.1233386739909985,3.1434805828946377,3.163622491798277,3.183764400701916,3.205584802014192,3.2240482185091945,3.2458686198214703,3.267689021133746,3.2878309300373854,3.309651331349661,3.3297932402533004,3.3499351491569396,3.3717555504692154,3.3918974593728546,3.4137178606851304,3.4338597695887696,3.452323186083772,3.474143587396048,3.494285496299687,3.516105897611963,3.536247806515602,3.5563897154192414,3.5782101167315172,3.59667353322652,3.6184939345387956,3.638635843442435,3.658777752346074,3.68059815365835,3.700740062561989,3.7208819714656283,3.7410238803692675,3.75948729686427,3.781307698176546,3.8014496070801886,3.8199130235751912,3.8400549324788305,3.8601968413824697,3.880338750286109,3.8988021667811115,3.9189440756847507,3.9374074921797533,3.955870908674756,3.976012817578395,3.9961547264820343,4.014618142977037,4.034760051880676,4.056580453192952,4.080079346913864,4.103578240634777,4.127077134355689,4.153933012893875,4.179110399023424,4.204287785152973,4.231143663691158,4.256321049820707,4.283176928358893,4.310032806897079,4.336888685435264,4.36374456397345,4.388921950102999,4.415777828641184,4.44263370717937,4.467811093308919,4.496345464255741,4.52152285038529,4.546700236514839,4.573556115053025,4.598733501182574,4.6255893797207595,4.652445258258945,4.679301136797131,4.706157015335316,4.733012893873502,4.758190280003051,4.786724650949873,4.811902037079426,4.837079423208975,4.86393530174716
t,78.0,81.0,84.0,86.0,89.0,91.0,94.0,97.0,99.0,102.0,105.0,107.0,110.0,113.0,115.0,118.0,120.0,123.0,126.0,128.0,131.0,133.0,136.0,139.0,141.0,144.0,147.0,149.0,152.0,154.0,157.0,160.0,162.0,165.0,168.0,170.0,173.0,175.0,178.0,181.0,183.0,186.0,189.0,191.0,194.0,196.0,199.0,202.0,204.0,207.0,210.0,212.0,215.0,217.0,220.0,223.0,225.0,228.0,231.0,233.0,236.0,238.0,241.0,244.0,246.0,249.0,251.0,254.0,257.0,259.0,262.0,265.0,267.0,270.0,272.0,275.0,278.0,280.0,283.0,286.0,288.0,291.0,293.0,296.0,299.0,301.0,304.0,307.0,309.0,312.0,314.0,317.0,320.0,322.0,325.0,328.0,330.0,333.0,335.0,338.0,341.0,343.0,346.0,349.0,351.0,354.0,356.0,359.0,362.0,364.0,367.0,370.0,372.0,375.0,377.0,380.0,383.0,385.0,388.0,390.0,393.0,396.0,398.0,401.0,404.0,406.0,409.0,411.0,414.0,417.0,419.0,422.0,425.0,427.0,430.0,432.0,435.0,438.0,440.0,443.0,446.0,448.0,451.0,453.0,456.0,459.0,461.0,464.0,467.0,469.0,472.0,474.0,477.0,480.0,482.0,485.0,487.0,490.0,493.0,495.0,498.0,501.0,503.0,506.0,508.0,511.0,514.0,516.0
