hydrostatic
testname,hydrostatic
result,pass
bpressure,4.343266956588083
sample,9413 140
fluidname,
fluidvalue,
mode,null
recordy,1.9111314564736421,2.0655527580682094,4.343266956588083
recordx,168.0,191.0,585.0
duration,9 min:45 sec
durationsecond,585
testtime,18:49:25
testdate,06/02/2021
customerid,N0048
indistry,
application,
splate,
ans,0.10843060959792616,0.12353704127565557,0.14200045777065817,0.16549935149157058,0.18731975280384638,0.214175631342032,0.2460669871061274,0.2779583428702228,0.314885175860228,0.3534905012588698,0.39880979629205804,0.44412909132524625,0.48944838635843446,0.5381246662088977,0.5868009460593591,0.6371557183184571,0.6891889829861917,0.7412222476539263,0.7949340047302975,0.8486457618066687,0.9023575188830399,0.9594262607766844,1.0131380178530556,1.0685282673380652,1.1255970092317096,1.1793087663080808,1.233020523384452,1.2850537880521866,1.333730067902648,1.3857633325703826,1.4327611200122075,1.4797589074540323,1.5250782024872205,1.5670405127031355,1.6090028229190505,1.6476081483176923,1.682856488899061,1.7181048294804295,1.749996185244525,1.781887541008624,1.8121004043640827,1.8372777904936317,1.865812161440454,1.8893110551613663,1.9111314564736421,1.932951857785918,1.9514152742809205,1.9698786907759231,1.9883421072709258,2.003448538948655,2.020233463035021,2.0353398947127506,2.0521248187991166,2.0655527580682094,2.0806591897459388,2.095765621423668,2.1108720531013976,2.125978484779127,2.1410849164568564,2.154512855725949,2.1696192874036786,2.1830472266727714,2.196475165941864,2.2115815976195936,2.226688029297323,2.240115968566416,2.255222400244145,2.268650339513238,2.282078278782331,2.2955062180514236,2.310612649729153,2.324040588998246,2.335790035858702,2.3508964675364314,2.3643244068055242,2.3760738536659805,2.39118028534371,2.4046082246128027,2.4180361638818955,2.433142595559625,2.444892042420081,2.458319981689174,2.4717479209582667,2.4851758602273595,2.4986037994964523,2.512031738765545,2.525459678034638,2.537209124895094,2.550637064164187,2.5640650034332797,2.575814450293736,2.5892423895628287,2.604348821240558,2.6160982681010143,2.629526207370107,2.6412756542305633,2.6530251010910195,2.6664530403601123,2.6782024872205685,2.6916304264896613,2.7033798733501175,2.7151293202105737,2.7285572594796665,2.7403067063401227,2.7537346456092155,2.7654840924696718,2.7772335393301315,2.7906614785992243,2.8024109254596805,2.8141603723201367,2.8275883115892295,2.8393377584496857,2.854444190127415,2.8645151445792347,2.876264591439691,2.8896925307087837,2.8997634851606033,2.913191424429696,2.9249408712901523,2.9366903181506085,2.9501182574197014,2.960189211871521,2.9736171511406138,2.9870450904097066,2.997116044861526,3.010543984130619,3.022293430991075,3.035721370260168,3.0508278019378974,3.065934233615627,3.082719157701993,3.097825589379722,3.114610513466088,3.1297169451438176,3.14818036163882,3.164965285725186,3.181750209811552,3.198535133897918,3.215320057984284,3.2321049820706502,3.2488899061570162,3.267353322652019,3.284138246738385,3.300923170824751,3.317708094911117,3.334493018997483,3.351277943083849,3.368062867170215,3.3831692988479443,3.401632715342947,3.4167391470206763,3.4335240711070423,3.4486305027847717,3.4670939192797743,3.4822003509575037,3.4989852750438697,3.514091706721599,3.530876630807965,3.547661554894331,3.564446478980697,3.581231403067063,3.598016327153429,3.614801251239795,3.6299076829175245,3.6466926070038905,3.6634775310902565,3.678583962767986,3.695368886854352,3.7104753185320813,3.7272602426184474,3.7423666742961768,3.757473105973906,3.7759365224689123,3.7910429541466417,3.806149385824371,3.822934309910737,3.8380407415884665,3.8548256656748325,3.869932097352562,3.8850385290302913,3.9018234531166573,3.9169298847943868,3.932036316472116,3.948821240558482,3.962249179827575,3.979034103913941,3.9941405355916704,4.0092469672694,4.024353398947129,4.042816815442132,4.062958724345771,4.08310063324941,4.103242542153049,4.126741435873962,4.146883344777601,4.170382238498513,4.190524147402153,4.210666056305792,4.234164950026704,4.254306858930343,4.276127260242619,4.299626153963532,4.319768062867171,4.343266956588083
t,52.0,55.0,57.0,60.0,63.0,65.0,68.0,71.0,73.0,76.0,78.0,81.0,84.0,86.0,89.0,92.0,94.0,97.0,99.0,102.0,105.0,107.0,110.0,113.0,115.0,118.0,120.0,123.0,126.0,128.0,131.0,134.0,136.0,139.0,141.0,144.0,147.0,149.0,152.0,154.0,157.0,160.0,162.0,165.0,168.0,170.0,173.0,175.0,178.0,181.0,183.0,186.0,189.0,191.0,194.0,196.0,199.0,202.0,204.0,207.0,210.0,212.0,215.0,217.0,220.0,223.0,225.0,228.0,231.0,233.0,236.0,238.0,241.0,244.0,246.0,249.0,251.0,254.0,257.0,259.0,262.0,265.0,267.0,270.0,272.0,275.0,278.0,280.0,283.0,286.0,288.0,291.0,293.0,296.0,299.0,301.0,304.0,307.0,309.0,312.0,314.0,317.0,320.0,322.0,325.0,328.0,330.0,333.0,335.0,338.0,341.0,343.0,346.0,349.0,351.0,354.0,356.0,359.0,362.0,364.0,367.0,370.0,372.0,375.0,377.0,380.0,383.0,385.0,388.0,390.0,393.0,396.0,398.0,401.0,404.0,406.0,409.0,411.0,414.0,417.0,419.0,422.0,425.0,427.0,430.0,432.0,435.0,438.0,440.0,443.0,446.0,448.0,451.0,453.0,456.0,459.0,461.0,464.0,467.0,469.0,472.0,474.0,480.0,480.0,482.0,485.0,488.0,490.0,493.0,495.0,498.0,501.0,503.0,506.0,508.0,511.0,514.0,516.0,519.0,522.0,524.0,527.0,529.0,532.0,535.0,537.0,540.0,543.0,545.0,548.0,550.0,553.0,556.0,558.0,561.0,564.0,566.0,569.0,571.0,574.0,577.0,579.0,582.0,585.0
