hydrostatic
testname,hydrostatic
result,FAIL
bpressure,0.36154726482032373
sample,Acrylic
fluidname,
fluidvalue,
mode,null
recordy,0.2071259632257565,0.2960860608834963,0.36154726482032373
recordx,7.0,15.0,20.0
duration,0 min:53 sec
durationsecond,53
testtime,10:46:52
testdate,09/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.10809491111619707,0.14334325169756568,0.17523460746166108,0.2071259632257565,0.2373388265812153,0.2675516899366741,0.2960860608834963,0.3246204318303185,0.36154726482032373
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0
