hydrostatic
testname,hydrostatic
result,PASS
bpressure,10.027313649195086
sample,Black Coated
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,12 min:46 sec
durationsecond,766
testtime,16:33:13
testdate,18/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.11078049897001385,0.13763637750819946,0.16281376363774847,0.19134813458457067,0.22156099794002948,0.2517738612954883,0.28030823224231227,0.3105210955977711,0.3457694361791397,0.3776607919432351,0.4112306401159671,0.4448004882886991,0.4766918440527945,0.5085831998168899,0.5404745555809853,0.5740444037537173,0.6042572671091762,0.6361486228732716,0.668039978637367,0.6999313344014624,0.726787212939648,0.7620355535210166,0.7905699244678406,0.822461280231936,0.8543526359960314,0.8862439917601268,0.9164568551155856,0.9466697184710444,0.9802395666437764,1.0104524299992352,1.0457007705806038,1.0843060959792457,1.1195544365606143,1.1548027771419829,1.191729610131988,1.2269779507133567,1.2622262912947253,1.2991531242847323,1.334401464866101,1.367971313038833,1.401541161211565,1.4384679942015701,1.4720378423743021,1.5072861829556707,1.5425345235370393,1.577782864118408,1.61135271229114,1.644922560463872,1.6768139162279674,1.712062256809336,1.7439536125734314,1.7775234607461634,1.8094148165102588,1.8413061722743542,1.871519035629813,1.9034103913939084,1.9353017471580038,1.9671931029220993,1.9957274738689215,2.0259403372243803,2.0645456626230256,2.101472495613031,2.1400778210116727,2.177004654001678,2.2122529945830465,2.247501335164415,2.2793926909285105,2.314641031509879,2.348210879682611,2.386816205081253,2.4187075608453483,2.45731288624399,2.4892042420080855,2.5261310749980908,2.563057907988096,2.5899137865262816,2.6234836346990136,2.658731975280382,2.6872663462272044,2.722514686808573,2.752727550164032,2.784618905928127,2.8165102616922226,2.8467231250476814,2.8802929732204134,2.912184328984509,2.937361715114058,2.9088273441672357,2.9272907606622383,2.962539101243607,2.9977874418249755,3.0263218127717977,3.078355077439536,3.1270313572899973,3.170672159914549,3.2109559777218273,3.2512397955291057,3.2948805981536573,3.3234149691004795,3.3687342641336677,3.4106965743495827,3.450980392156861,3.4912642099641396,3.523155565728235,3.5617608911268768,3.598687724116882,3.632257572289614,3.660791943236436,3.590295262073699,3.694361791409168,3.7279316395819,3.788357366292818,3.8319981689173694,3.8622110322728282,3.9024948500801067,3.9360646982528387,3.967956054016934,3.998168917372393,4.026703288319219,4.063630121309224,4.102235446707866,4.142519264515144,4.1828030823224225,4.221408407721064,4.256656748302433,4.295262073701075,4.357366292820629,4.372472724498358,4.4093995574883635,4.4513618677042786,4.486610208285647,4.521858548867016,4.558785381857021,4.599069199664299,4.634317540245668,4.669565880827037,4.704814221408405,4.738384069581137,4.768596932936596,4.800488288700691,4.83070115205615,4.8592355230029725,4.891126878767068,4.928053711757073,4.956588082703895,4.986800946059354,5.017013809414813,5.057297627222095,5.0942244602121,5.139543755245288,5.181506065461203,5.221789883268482,5.2603952086671235,5.299000534065765,5.34096284428168,5.381246662088959,5.421530479896237,5.456778820477606,5.490348668650338,5.52895399404898,5.565880827038985,5.599450675211717,5.638056000610359,5.674982833600364,5.708552681773096,5.743801022354464,5.77569237811856,5.8109407186999285,5.846189059281297,5.8780804150453925,5.909971770809488,5.940184634164947,5.972075989929042,6.000610360875864,6.040894178683146,6.084534981307698,6.126497291523613,6.171816586556801,6.208743419546806,6.249027237354085,6.29098954757,6.3295948729686415,6.36484321355001,6.405127031357289,6.442053864347294,6.477302204928662,6.514229037918668,6.551155870908673,6.588082703898678,6.625009536888683,6.658579385061415,6.70054169527733,6.734111543450062,6.769359884031431,6.802929732204163,6.836499580376895,6.870069428549627,6.901960784313722,6.933852140077818,6.96742198825055,6.999313344014645,7.031204699778744,7.0714885175860225,7.116807812619211,7.158770122835126,7.202410925459677,7.244373235675592,7.286335545891507,7.324940871290149,7.365224689097428,7.407186999313343,7.445792324711984,7.481040665293353,7.521324483100631,7.556572823682,7.593499656672005,7.628747997253374,7.667353322652016,7.702601663233384,7.73449301899748,7.771419851987485,7.8066681925688535,7.838559548332949,7.872129396505681,7.9073777370870495,7.939269092851145,7.97116044861524,8.003051804379336,8.043335622186618,8.090333409628442,8.133974212252994,8.177615014877546,8.217898832684824,8.25986114290074,8.300144960708018,8.342107270923933,8.380712596322574,8.41763942931258,8.456244754711221,8.493171587701227,8.530098420691232,8.5653467612726,8.602273594262606,8.635843442435338,8.66941329060807,8.706340123598075,8.741588464179443,8.773479819943539,8.805371175707634,8.83726253147173,8.867475394827188,8.897688258182647,8.92622262912947,8.949721522850382,8.691233691920345,9.129320210574502,9.176317998016327,9.226672770275425,9.27367055771725,9.317311360341801,9.360952162966353,9.402914473182268,9.443198290989546,9.485160601205461,9.52544441901274,9.565728236820018,9.60433356221866,9.641260395208665,9.67818722819867,9.716792553597312,9.753719386587317,9.788967727168686,9.825894560158691,9.86114290074006,9.894712748912792,9.928282597085524,9.961852445258256,9.995422293430988,10.027313649195086
