hydrostatic
testname,hydrostatic
result,PASS
bpressure,15.015457389181352
sample,Blackcoated
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,20 min:48 sec
durationsecond,1248
testtime,17:03:09
testdate,18/07/2022
customerid,N0048
indistry,
application,
splate,
