hydrostatic
testname,hydrostatic
result,pass
bpressure,3.9925542357518893
sample,Gown GX100
fluidname,Water
fluidvalue,72.0
mode,Mode 1
recordy,
recordx,
duration,3 min:1 sec
durationsecond,181
testtime,18:38:43
testdate,30/01/2021
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Small
ans,4.664112285648891,0.05674016388189784,0.08064007690547115,0.10424492927443474,0.1269645996795603,0.14909414877546467,0.17033851590753102,0.1918779436942124,0.21282725017166548,0.2343666779583451,0.2550209237811867,0.276265290913253,0.29721459739070966,0.3181639038681645,0.3388181496910061,0.36006251682307244,0.3810118233005273,0.40166606912337066,0.42261537560082374,0.4432696214236689,0.46392386724651047,0.4848731737239653,0.5055274195468087,0.5285421506065475,0.5486062751201661,0.5692605209430095,0.5902098274204644,0.6120443158617537,0.6365343501945535,0.6571885960173969,0.678432963149465,0.7002674515907543,0.7212167580682092,0.7430512465094985,0.7654758562600144,0.7879004660105284,0.8118003790341053,0.8339299281300097,0.8569446591897467,0.8793692689402626,0.9029741213092244,0.926578973678188,0.9501838260471516,0.9743787997253399,0.9985737734035247,1.0230638077363245,1.0481439633783474,1.0729290583657587,1.0980092140077833,1.1233844303044176,1.1493497679102784,1.1747249842069145,1.2015755037766098,1.2287210840009184,1.2582271494621207,1.2856677903410407,1.313993613183797,1.3423194360265533,1.3715304408331441,1.4016266276035694,1.4320178750286132,1.4629992437628765,1.4954559157702008,1.527322466468302,1.5609593810940723,1.595186417029069,1.6305936955825153,1.6671812167544076,1.7055391018539723,1.7462574721904325,1.7887462064545687,1.8347756685740464,1.8816903126573585,1.9312605026321812,1.9826010565346799,2.036302095674067,2.0897080741588496,2.151670811627376,2.2133384884412948,2.269990134126804,2.316904778210116,2.3570330272373567,2.387129214007782,2.408963702449075,2.4210611892881673,2.427257463035019,2.433158676127263,2.4738770464637234,2.528463267566952,2.580984064087893,2.6329147392996113,2.6857305964751674,2.737366211032274,2.7869364010070967,2.8365065909819194,2.8872570235751915,2.940072880750744,2.9937739198901347,3.051015686884874,3.1058969686427105,3.1581227045090436,3.219495320668347,3.2755568450446333,3.32719245960174,3.365255284046693,3.399777380636305,3.4301686280613453,3.4511179345387966,3.4702968770885825,3.4862301524376313,3.4965572753490513,3.5009831851682343,3.502753549095903,3.549668193179219,3.612221051956972,3.67123318287938,3.730835435111011,3.793388293888764,3.8583016379034127,3.9249853458457338,3.9925542357518893,4.06041818631266
t,17.0,19.0,20.0,21.0,23.0,24.0,26.0,27.0,28.0,30.0,31.0,32.0,34.0,35.0,36.0,38.0,39.0,40.0,42.0,43.0,44.0,46.0,47.0,49.0,50.0,51.0,53.0,54.0,55.0,57.0,58.0,59.0,61.0,62.0,63.0,65.0,66.0,68.0,69.0,70.0,72.0,73.0,74.0,76.0,77.0,78.0,80.0,81.0,82.0,84.0,85.0,87.0,88.0,89.0,91.0,92.0,93.0,95.0,96.0,97.0,99.0,100.0,101.0,103.0,104.0,105.0,107.0,108.0,110.0,111.0,112.0,114.0,115.0,116.0,118.0,119.0,120.0,122.0,123.0,124.0,126.0,127.0,128.0,130.0,131.0,133.0,134.0,135.0,137.0,138.0,139.0,141.0,142.0,143.0,145.0,146.0,147.0,149.0,150.0,152.0,153.0,154.0,156.0,157.0,158.0,160.0,161.0,162.0,164.0,165.0,166.0,168.0,169.0,170.0,172.0,173.0,175.0,176.0,177.0,179.0,180.0,181.0
