hydrostatic
testname,hydrostatic
result,FAIL
bpressure,1.5609979400320437
sample,Green Coated
fluidname,
fluidvalue,
mode,null
recordy,1.1010910200656134,1.4569314106965745,1.5609979400320437
recordx,81.0,107.0,115.0
duration,2 min:30 sec
durationsecond,150
testtime,16:14:40
testdate,18/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.10070954451819603,0.12588693064774503,0.15274280918593064,0.17792019531547965,0.20813305867093845,0.23666742961776066,0.26688029297321947,0.29709315632868005,0.32898451209277546,0.35751888303959767,0.3944457160296029,0.4263370717936983,0.4599069199664303,0.4934767681391623,0.5253681239032577,0.5589379720759897,0.5941863126573583,0.6260776684214537,0.6613260090028223,0.6948958571755544,0.7267872129396498,0.7603570611123818,0.7939269092851156,0.8274967574578476,0.8610666056305796,0.892957961394675,0.9282063019760436,0.960097657740139,0.993667505912871,1.0255588616769664,1.0624856946669716,1.1010910200656134,1.1380178530556186,1.1749446860456239,1.2101930266269925,1.2487983520256343,1.2823682001983663,1.3176165407797367,1.3528648813611053,1.3897917143511105,1.425040054932479,1.4569314106965745,1.4921797512779431,1.5274280918593117,1.5609979400320437
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0
