hydrostatic
testname,hydrostatic
result,PASS
bpressure,15.029556725413899
sample,Green
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,8 min:26 sec
durationsecond,506
testtime,12:22:56
testdate,14/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.10775921263446975,0.13293659876401875,0.16147096971084096,0.18832684824902657,0.21686121919584878,0.24539559014267098,0.2722514686808566,0.2991073472190422,0.3259632257572296,0.3763179980163276,0.4635996032654308,0.5475242236972608,0.6297703517204543,0.7086594949263745,0.7875486381322947,0.8580453192950337,0.9318989852750441,0.9990386816205081,1.0611429007400623,1.1568169680323486,1.2776684214541838,1.3901274128328378,1.4958724345769436,1.594903486686503,1.687220569161516,1.776180666819256,1.860105287251086,1.9389944304570061,2.014526588845653,2.1169146257724893,2.247837033646144,2.367009994659343,2.4727550164034486,2.576821545738918,2.6708171206225675,2.7580987258716707,2.8420233463035007,2.9175555046921477,2.988052185854885,3.0535133897917124,3.154222934309912,3.2817883573662936,3.3959258411535824,3.5050278477149615,3.6023804074158843,3.696375982299534,3.7819790951400005,3.8608682383459207,3.9380788891432044,4.003540093080032,4.109285114824141,4.240207522697796,4.357701991302358,4.466803997863737,4.567513542381933,4.659830624856946,4.747112230106049,4.829358358129243,4.90489051651789,4.975387197680627,5.037491416800181,5.139879453727017,5.270801861600672,5.391653315022507,5.497398336766613,5.598107881284809,5.690424963759822,5.774349584191652,5.853238727397573,5.92877088578622,5.995910582131684,6.059693293659874,6.162081330586711,6.294682230869002,6.412176699473564,6.5196002136263065,6.618631265735866,6.710948348210879,6.791515983825436,6.868726634622719,6.94258030060273,7.006363012130921,7.113786526283667,7.251422903791868,7.3705958648050665,7.478019378957809,7.577050431067368,7.666010528725108,7.7482566567483016,7.825467307545585,7.895963988708322,7.959746700236513,8.018493934538794,8.122560463874267,8.261875333791105,8.38272678721294,8.490150301365682,8.585824368657969,8.673105973907072,8.758709086747539,8.834241245136186,8.904737926298923,8.968520637827114,9.027267872129395,9.131334401464867,9.274006256198978,9.39653620202945,9.503959716182193,9.601312275883116,9.690272373540855,9.774196993972685,9.848050659952696,9.91519035629816,9.977294575417714,10.032684824902722,10.138429846646831,10.281101701380942,10.406988632028687,10.516090638590066,10.61344319829099,10.700724803540092,10.784649423971922,10.856824597543296,10.927321278706033,10.99278248264286,11.046494239719232,11.148882276646068,11.294911116197452,11.415762569619288,11.52318608377203,11.620538643472953,11.704463263904783,11.781673914702067,11.85384908827344,11.919310292210268,11.978057526512549,12.033447775997557,12.135835812924393,12.278507667658504,12.397680628671703,12.501747158007172,12.594064240482185,12.676310368505378,12.750164034485389,12.820660715648126,12.88276493476768,12.939833676661324,12.993545433737696,13.04054322117952,13.14125276569772,13.285603112840468,13.401419089036393,13.503807125963226,13.594445716029602,13.675013351644159,13.745510032806896,13.805935759517814,13.866361486228731,13.920073243305103,13.968749523155564,14.014068818188752,14.109742885481042,14.250736247806516,14.366552224002442,14.467261768520638,14.556221866178378,14.635111009384298,14.698893720912489,14.75764095521477,14.806317235065231,14.854993514915693,14.90031280994888,14.943953612573432,14.987594415197984,15.029556725413899
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,34.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,55.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,76.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,97.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,118.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,139.0,141.0,144.0,146.0,149.0,152.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,173.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,194.0,196.0,199.0,201.0,204.0,207.0,209.0,212.0,215.0,217.0,220.0,222.0,225.0,228.0,230.0,233.0,236.0,238.0,241.0,243.0,246.0,249.0,251.0,254.0,257.0,259.0,262.0,264.0,267.0,270.0,272.0,275.0,278.0,280.0,283.0,285.0,288.0,291.0,293.0,296.0,298.0,301.0,304.0,306.0,309.0,312.0,314.0,317.0,319.0,322.0,325.0,327.0,330.0,333.0,335.0,338.0,340.0,343.0,346.0,348.0,351.0,354.0,356.0,359.0,361.0,364.0,367.0,369.0,372.0,375.0,377.0,380.0,382.0,385.0,388.0,390.0,393.0,396.0,398.0,401.0,403.0,406.0,409.0,411.0,414.0,416.0,419.0,422.0,424.0,427.0,430.0,432.0,435.0,437.0,440.0,443.0,445.0,448.0,451.0,453.0,456.0
