hydrostatic
testname,hydrostatic
result,FAIL
bpressure,3.595666437781338
sample,Greencoated
fluidname,
fluidvalue,
mode,null
recordy,1.7107194628824285,1.7392538338292507,3.595666437781338
recordx,144.0,146.0,304.0
duration,5 min:35 sec
durationsecond,335
testtime,16:40:00
testdate,18/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.11279468986037955,0.14132906080720176,0.16818493934538736,0.19504081788357475,0.22357518883039695,0.24875257495994596,0.27560845349813157,0.3041428244449538,0.332677195391776,0.3612115663385982,0.391424429694057,0.4199588006408792,0.4484931715877014,0.4770275425345236,0.5055619134813458,0.534096284428168,0.5626306553749902,0.5911650263218124,0.6213778896772713,0.6499122606240935,0.6784466315709174,0.705302510109103,0.7355153734645619,0.7623712520027475,0.7909056229495697,0.8194399938963919,0.8479743648432141,0.8765087357900363,0.9033646143282219,0.9318989852750441,0.9587548638132297,0.9872892347600519,1.0158236057068741,1.0477149614709695,1.079606317235065,1.1098191805905238,1.1417105363546192,1.1736018921187163,1.2038147554741752,1.2357061112382706,1.2659189745937294,1.2978103303578248,1.3280231937132836,1.3582360570687424,1.3884489204242012,1.41866178377966,1.4488746471351188,1.477409018081941,1.5076218814373998,1.536156252384222,1.5663691157396809,1.5965819790951397,1.6251163500419619,1.653650720988784,1.6821850919356063,1.7107194628824285,1.7392538338292507,1.7661097123674363,1.7946440833142585,1.8231784542610807,1.851712825207903,1.8785687037460885,1.9071030746929107,1.9339589532311,1.962493324177922,1.9893492027161077,2.0162050812542933,2.0480964370183887,2.0816662851911207,2.1152361333638527,2.1488059815365848,2.18069733730068,2.2125886930647756,2.2461585412375076,2.278049897001603,2.3099412527656984,2.340154116121157,2.3720454718852526,2.403936827649348,2.434149691004807,2.4660410467689022,2.496253910124361,2.5281452658884564,2.5583581292439153,2.588570992599374,2.6204623483634695,2.6489967193102917,2.6792095826657505,2.7094224460212093,2.7379568169680315,2.7681696803234903,2.7967040512703125,2.8252384222171347,2.8554512855725935,2.8839856565194157,2.9108415350576013,2.9410543984130637,2.969588769359886,2.998123140306708,3.0266575112535303,3.061905851834899,3.0971541924162675,3.1340810254062728,3.1676508735790048,3.2028992141603734,3.238147554741742,3.271717402914474,3.3036087586785694,3.3371786068513014,3.369069962615397,3.402639810788129,3.436209658960861,3.4681010147249562,3.4999923704890517,3.531883726253147,3.5637750820172425,3.595666437781338
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,193.0,196.0,199.0,201.0,204.0,207.0,209.0,212.0,214.0,217.0,220.0,222.0,225.0,228.0,230.0,233.0,235.0,238.0,241.0,243.0,246.0,249.0,251.0,254.0,256.0,259.0,262.0,264.0,267.0,269.0,272.0,275.0,277.0,280.0,283.0,285.0,288.0,290.0,293.0,296.0,298.0,301.0,304.0
