hydrostatic
testname,hydrostatic
result,FAIL
bpressure,0.5649805447470797
sample,MAF 2
fluidname,
fluidvalue,
mode,null
recordy,0.20074769207293564,0.4928053711757059,0.5649805447470797
recordx,10.0,28.0,31.0
duration,1 min:25 sec
durationsecond,85
testtime,17:08:09
testdate,12/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.11514457923246901,0.13528648813610822,0.15710688944838402,0.17892729076065983,0.20074769207293564,0.22592507820248464,0.24942397192339705,0.27627985046158265,0.30145723659113344,0.33670557717250205,0.41727321278705887,0.4928053711757059,0.5649805447470797
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0
