hydrostatic
testname,hydrostatic
result,FAIL
bpressure,0.6066071564812674
sample,MAF
fluidname,
fluidvalue,
mode,null
recordy,0.44547188525215375,0.5277180132753472,0.6066071564812674
recordx,26.0,28.0,31.0
duration,1 min:16 sec
durationsecond,76
testtime,12:42:21
testdate,14/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.1164873731593783,0.1416647592889273,0.1668421454184763,0.1903410391393887,0.21887541008621092,0.24237430380712333,0.27090867475394553,0.2977645532921329,0.3212634470130453,0.35986877241168713,0.44547188525215375,0.5277180132753472,0.6066071564812674
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0
