hydrostatic
testname,hydrostatic
result,FAIL
bpressure,0.8201113908598447
sample,Maf 1
fluidname,
fluidvalue,
mode,null
recordy,0.5884794384679921,0.7647211413748352,0.8201113908598447
recordx,44.0,52.0,54.0
duration,1 min:58 sec
durationsecond,118
testtime,12:05:06
testdate,14/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.10843060959792261,0.12185854886701541,0.13528648813610822,0.15039291981383762,0.16717784390020363,0.18228427557793303,0.19739070725566243,0.21585412375066504,0.23263904783703104,0.24606698710612385,0.26620889600976305,0.28467231250476566,0.30145723659113166,0.32999160753795564,0.40216678110932946,0.4693064774547935,0.5314106965743477,0.5884794384679921,0.6505836575875463,0.7076523994811907,0.7647211413748352,0.8201113908598447
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0
