hydrostatic
testname,hydrostatic
result,PASS
bpressure,10.316685740444038
sample,Orange
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,1 min:11 sec
durationsecond,71
testtime,11:55:22
testdate,20/07/2022
customerid,N0048
lotno,1
dia,5cm
thic,0.1
indistry,
application,
splate,5cm
ans,0.17019913023575306,1.5062790875104906,2.6980086976424804,3.802456702525367,4.826337071793697,5.767971313038833,6.598825055313954,7.30379186694133,7.886228732738234,8.354528114747845,8.718760967421987,8.997390707255667,9.205523765926605,9.35155260547799,9.452262149996185,9.51940184634165,9.552971694514381,9.563042648966201,9.888670176241705,10.316685740444038
t,0.0,2.0,5.0,7.0,10.0,12.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0
