hydrostatic
testname,hydrostatic
result,FAIL
bpressure,2.214267185473412
sample,PPE
fluidname,
fluidvalue,
mode,null
recordy,1.2088502327000832,1.3145952544441908,2.214267185473412
recordx,54.0,57.0,86.0
duration,2 min:22 sec
durationsecond,142
testtime,12:28:51
testdate,14/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.11279468986037955,0.12957961394674555,0.15140001525902136,0.16986343175402396,0.19336232547493637,0.21686121919584878,0.24036011291676118,0.2638590066376736,0.2890363927672226,0.31589227130541,0.349462119478142,0.4300297550926988,0.5105973907072556,0.5878080415045392,0.6650186923018229,0.7405508506904699,0.8093690394445705,0.8781872281986729,0.9453269245441369,1.0057526512550545,1.096391241321431,1.2088502327000832,1.3145952544441908,1.4119478141451136,1.5042648966201266,1.5898680094605933,1.67043564507515,1.7442893110551605,1.818142977035171,1.8869611657892715,1.9490653849088257,2.0128480964370166,2.1001297016861233,2.214267185473412
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0
