hydrostatic
testname,hydrostatic
result,fail
bpressure,1.9846494239719252
sample,Pioneer 62
fluidname,
fluidvalue,
mode,null
recordy,1.197436484321356,1.8352635996032678,1.9846494239719252
recordx,144.0,215.0,238.0
duration,4 min:1 sec
durationsecond,241
testtime,18:00:23
testdate,06/02/2021
customerid,N0048
indistry,
application,
splate,
ans,0.10977340352483544,0.13830777447165765,0.17859159227893606,0.22726787212939747,0.2860151064316785,0.3548332951857791,0.4303654535744261,0.5025406271458,0.5696803234912657,0.63178454261082,0.690531776913101,0.740886549172199,0.7895628290226604,0.8348821240558486,0.8768444342717636,0.9188067444876786,0.9574120698863204,0.9943389028763256,1.0312657358663309,1.0648355840390646,1.1000839246204333,1.1319752803845287,1.163866636148624,1.197436484321356,1.2276493476768149,1.2578622110322737,1.286396581979096,1.314930952925918,1.3434653238727403,1.370321202410926,1.3971770809491115,1.4223544670786605,1.4492103456168461,1.4743877317463951,1.4978866254673076,1.52138551918822,1.546562905317769,1.5683833066300448,1.5918822003509572,1.613702601663233,1.6355230029755088,1.6590218966964212,1.6791638056000604,1.6993057145036996,1.7211261158159754,1.739589532310978,1.7614099336232538,1.7798733501182564,1.7966582742046224,1.8168001831082652,1.8352635996032678,1.8537270160982704,1.8705119401846364,1.8872968642710024,1.905760280766005,1.9208667124437344,1.9359731441214638,1.9544365606164664,1.9695429922941958,1.9846494239719252
t,84.0,86.0,89.0,92.0,94.0,97.0,99.0,102.0,105.0,107.0,110.0,113.0,115.0,118.0,120.0,123.0,126.0,128.0,131.0,134.0,136.0,139.0,141.0,144.0,147.0,149.0,152.0,154.0,157.0,160.0,162.0,165.0,168.0,170.0,173.0,175.0,178.0,181.0,183.0,186.0,189.0,191.0,194.0,196.0,199.0,202.0,204.0,207.0,210.0,212.0,215.0,217.0,220.0,223.0,225.0,228.0,231.0,233.0,236.0,238.0
