bubblepoint
p1,0.0,15.976195925841154,31.868467231250477,45.6244754711223,58.07583733882658,65.8808270389868,74.28091859311819,80.76600289921416,85.83199816891737,91.02769512474251,94.72037842374304,98.90135042343786,102.67032883192188,105.57717250324254,108.720531013962,111.18486305027848,113.79415579461356,116.28900587472343,118.3718623636225,120.51575494010834,122.4078736552987,124.39917601281758,126.27603570611124,127.86297398336767,129.61776150148776,130.99107347219044,132.6161593041886,133.99710078583962,135.45433737697414,136.7132066834516,138.07125963225758,139.41405355916686,140.5584802014191,141.80209048599986,142.74814984359503,143.99938963912413,144.99885557335776,146.1127641718166,146.99778744182498,148.1269550621805,149.03486686503396,150.00381475547417,150.98039215686273,151.75097276264592,152.65888456549936,153.42946517128252,154.19241626611733,154.96299687190051,155.9929808499275,157.02296482795452,158.7624933241779,160.8148317692836,162.6840619516289,164.96528572518503,166.96421759365225,169.23781185626,171.25200274662393,173.6476691844053,175.50164034485388,177.7981231403067,180.0106813153277,182.1316853589685,184.48157473105974,186.51102464332035,188.77698939497978,190.6157015335317,192.86640726329443,194.62119478141452,196.87953002212558,198.72587167162584,201.02998397802702,203.1509880216678,205.08888380254825,207.32433051041428,208.96467536430916,210.8567940794995,212.3750667582208,214.26718547341116,215.77019913023574,217.70046540016784,219.25688563363087,221.02693217364768,221.91195544365607,222.57572289616235,223.29289692530708,224.03295948729686,224.78828107118335,225.4139009689479,226.03952086671245,226.40573739223316,225.78774700541695,224.1779201953155,223.03349355306324,221.67544060425726,220.6378271152819,219.48577096208132,218.46341649500266,217.18165865568017,216.28137636377508,214.9996185244526,213.93911650263217,212.8786144808118,211.61211566338596,210.72709239337757,209.46822308690014,208.58319981689175,207.44640268558786,206.5995269703212,205.59243152513923,204.78370336461433,203.80712596322576,202.79240100709544,202.03707942320898,201.00709544518196,200.2517738612955,199.35912108033875,198.59616998550393,197.8789959563592,197.1160448615244,196.23865110246433,195.37651636530097,194.73563744563972,193.98031586175327,193.35469596398872,192.6070038910506,191.97375448233768,191.22606240939956,190.72251468680858,190.01297016861218,189.40260929274433,188.75410086213475,188.2581826504921,187.74700541695276,187.1213855191882,186.49576562142366,185.99221789883268,185.4886701762417,184.98512245365072,184.42816815442131,183.84832532234682,183.34477759975584,182.84122987716486,182.50553139543754,182.1164263370718,181.4831769283589,181.09407186999314,180.71259632257573,180.2014190890364,179.81994354161898,179.43846799420157,179.05699244678416,178.54581521324482,178.29404135194935,177.78286411841,177.6531624322881,177.2716868848707,176.89021133745328,176.5011062790875,176.12726024261846,175.87548638132296,175.4863813229572,175.2346074616617,174.97520408941787,174.6013580529488,174.3801022354467,174.1283283741512
p2,15.976195925841154,31.868467231250477,45.6244754711223,58.07583733882658,65.8808270389868,74.28091859311819,80.76600289921416,85.83199816891737,91.02769512474251,94.72037842374304,98.90135042343786,102.67032883192188,105.57717250324254,108.720531013962,111.18486305027848,113.79415579461356,116.28900587472343,118.3718623636225,120.51575494010834,122.4078736552987,124.39917601281758,126.27603570611124,127.86297398336767,129.61776150148776,130.99107347219044,132.6161593041886,133.99710078583962,135.45433737697414,136.7132066834516,138.07125963225758,139.41405355916686,140.5584802014191,141.80209048599986,142.74814984359503,143.99938963912413,144.99885557335776,146.1127641718166,146.99778744182498,148.1269550621805,149.03486686503396,150.00381475547417,150.98039215686273,151.75097276264592,152.65888456549936,153.42946517128252,154.19241626611733,154.96299687190051,155.9929808499275,157.02296482795452,158.7624933241779,160.8148317692836,162.6840619516289,164.96528572518503,166.96421759365225,169.23781185626,171.25200274662393,173.6476691844053,175.50164034485388,177.7981231403067,180.0106813153277,182.1316853589685,184.48157473105974,186.51102464332035,188.77698939497978,190.6157015335317,192.86640726329443,194.62119478141452,196.87953002212558,198.72587167162584,201.02998397802702,203.1509880216678,205.08888380254825,207.32433051041428,208.96467536430916,210.8567940794995,212.3750667582208,214.26718547341116,215.77019913023574,217.70046540016784,219.25688563363087,221.02693217364768,221.91195544365607,222.57572289616235,223.29289692530708,224.03295948729686,224.78828107118335,225.4139009689479,226.03952086671245,226.40573739223316,225.78774700541695,224.1779201953155,223.03349355306324,221.67544060425726,220.6378271152819,219.48577096208132,218.46341649500266,217.18165865568017,216.28137636377508,214.9996185244526,213.93911650263217,212.8786144808118,211.61211566338596,210.72709239337757,209.46822308690014,208.58319981689175,207.44640268558786,206.5995269703212,205.59243152513923,204.78370336461433,203.80712596322576,202.79240100709544,202.03707942320898,201.00709544518196,200.2517738612955,199.35912108033875,198.59616998550393,197.8789959563592,197.1160448615244,196.23865110246433,195.37651636530097,194.73563744563972,193.98031586175327,193.35469596398872,192.6070038910506,191.97375448233768,191.22606240939956,190.72251468680858,190.01297016861218,189.40260929274433,188.75410086213475,188.2581826504921,187.74700541695276,187.1213855191882,186.49576562142366,185.99221789883268,185.4886701762417,184.98512245365072,184.42816815442131,183.84832532234682,183.34477759975584,182.84122987716486,182.50553139543754,182.1164263370718,181.4831769283589,181.09407186999314,180.71259632257573,180.2014190890364,179.81994354161898,179.43846799420157,179.05699244678416,178.54581521324482,178.29404135194935,177.78286411841,177.6531624322881,177.2716868848707,176.89021133745328,176.5011062790875,176.12726024261846,175.87548638132296,175.4863813229572,175.2346074616617,174.97520408941787,174.6013580529488,174.3801022354467,174.1283283741512,173.87655451285573
upload,yes
bpressure,5000
fluidname,M16
duration,4 min:24 sec
crosssection,Circular
materialtype,Hydrophobic
splate,Medium
result,pass
flow,7729.457541771572,6314.0306706340125,5052.109559777218,4151.064316777294,3495.5367360952164,2972.457465476463,2545.204852368963,2202.1820401312275,1960.0213626306554,1760.8911268787672,1596.3988708323795,1456.4736400396735,1330.739299610895,1225.4520485236897,1132.5246051728084,1052.2621499961851,982.5284199282826,920.2716105897612,864.1184100099184,814.0688181887541,769.9702449073014,731.5175097276265,698.1002517738613,673.3806363012131,648.0506599526971,623.1784542610818,599.9847409781033,579.3850614175632,560.3112840466927,542.6108186465248,524.75776302739,507.82024872205693,490.73014419775694,476.8444342717632,464.4846265354391,452.4299992370489,439.76501106279085,427.55779354543375,416.2661173418784,406.04257267109176,397.4975204089418,389.41023880369266,381.7807278553445,375.066758220798,367.74242771038377,360.4180971999695,366.3691157396811,404.974441138323,496.3759822995346,624.7043564507516,728.4657053482872,790.5699244678416,826.2760357061112,850.0801098649576,870.222018768597,884.2603189135576,894.1786831464103,901.8081940947585,908.5221637293049,914.3205920500496,917.8301670862897,921.33974212253,924.8493171587701,926.8329900053407,928.0537117570764,929.4270237277791,930.8003356984817,931.5632867933166,933.0891889829862,935.5306324864576,937.5143053330281,940.5661097123674,938.7350270847638,938.5824368657969,941.1764705882352,944.2282749675746,945.4489967193103,946.0593575951782,946.822308690013,948.3482108796826,952.6207370107576,961.7761501487755,964.3701838712138,964.8279545281148,966.3538567177844,966.5064469367513,968.184939345388,970.4737926298924,975.9670405127031,999.0081635767148,1007.0954451819638,1007.5532158388647,1007.4006256198977,1007.4006256198977,1006.9428549629969,1007.8583962767987,1007.5532158388647,1007.2480354009308,1008.6213473716335,1009.2317082475014,1009.2317082475014,1009.5368886854353,1008.9265278095675,1008.9265278095675,1008.7739375906004,1008.1635767147326,1007.8583962767987,1007.4006256198977,1007.2480354009308,1006.7902647440299,1006.4850843060959,1006.0273136491951,1006.0273136491951,1006.4850843060959,1006.0273136491951,1008.3161669336996,1010.1472495613032,1008.1635767147326,1007.0954451819638,1005.8747234302281,1006.179903868162,1005.5695429922941,1005.5695429922941,1004.8065918974594,1004.1962310215915,1004.0436408026245,1003.5858701457237,1003.7384603646906,1002.8229190508888,1002.6703288319219,1003.5858701457237,1001.7547875181201,1003.2806897077897,1004.1962310215915,1003.5858701457237,1002.6703288319219,1002.212558175021,1001.7547875181201,1002.059967956054,1001.4496070801862,1001.4496070801862,1000.9918364232852,1001.4496070801862,1000.8392462043183,1000.6866559853513,1000.0762951094835,999.9237048905165,1000.3814755474174,1000.0762951094835,999.6185244525826,999.6185244525826,999.3133440146487,999.1607537956817,999.0081635767148,999.6185244525826,999.1607537956817,998.8555733577477,999.0081635767148,998.8555733577477,998.5503929198138,999.0081635767148,998.5503929198138,998.3978027008469,998.092622262913,997.3296711680781,997.1770809491112
bdiameter,0.05
durationsecond,264
thresold,5000
