hydrostatic
testname,hydrostatic
result,PASS
bpressure,10.027313649195083
sample,SAMPLE F
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,7 min:18 sec
durationsecond,438
testtime,16:37:26
testdate,12/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.11078049897001385,0.13092240787365306,0.15106431677729226,0.16952773327229487,0.18799114976729747,0.21149004348820988,0.23163195239184908,0.2500953688868517,0.2702372777904909,0.2903791866941301,0.3088426031891345,0.3356984817273201,0.4078736552986939,0.4699778744182481,0.5320820935378023,0.59250782024872,0.6495765621423644,0.7083237964446454,0.7653925383382898,0.8191042954146628,0.872816052491034,0.9248493171587686,0.97352559700923,1.023880369268328,1.099412527656975,1.1950865949492613,1.2857251850156377,1.3696498054474695,1.4502174410620263,1.5257495994506733,1.5996032654306838,1.670099946593421,1.737239642938885,1.8010223544670758,1.8614480811779934,1.9185168230716378,1.9739070725566457,2.0259403372243803,2.1065079728389406,2.2072175173571367,2.29449912260624,2.3801022354467065,2.4589913786526267,2.5345235370412738,2.6066987106126476,2.675516899366748,2.7409781033035756,2.8014038300144932,2.8584725719081376,2.912184328984509,2.962539101243607,3.0112153810940683,3.0884260318913554,3.1891355764095515,3.279774166475928,3.363698786907758,3.4442664225223147,3.5197985809109618,3.5919737544823356,3.662470435645073,3.7279316395819,3.7900358587014544,3.8487830930037354,3.90585183489738,3.959563591973751,4.0082398718242125,4.087129015030136,4.1911955443656055,4.285191119249255,4.372472724498358,4.453040360112915,4.530251010910199,4.604104676890209,4.674601358052946,4.740062561989774,4.798809796292055,4.857557030594336,4.91462577248798,4.9683375295643515,5.0186923018234495,5.097581445029373,5.205004959182116,5.299000534065765,5.3862821393148685,5.468528267338062,5.547417410543982,5.621271076523993,5.68673228046082,5.750514991989011,5.812619211108565,5.871366445410846,5.9284351873044905,5.980468451972225,6.02746623941405,6.109712367437247,6.218814373998626,6.316166933699549,6.403448538948652,6.485694666971845,6.564583810177766,6.638437476157776,6.707255664911877,6.774395361257341,6.836499580376895,6.895246814679176,6.948958571755547,6.999313344014645,7.04798962386511,7.128557259479667,7.237659266041046,7.3316548409246955,7.418936446173799,7.499504081788356,7.576714732585639,7.648889906157013,7.717708094911114,7.7814908064393045,7.838559548332949,7.893949797817957,7.945983062485691,7.996337834744789,8.045014114595254,8.123903257801175,8.238040741588463,8.33875028610666,8.4277103837644,8.509956511787593,8.587167162584876,8.661020828564887,8.729839017318987,8.795300221255815,8.854047455558096,8.909437705043104,8.959792477302202,9.008468757152663,9.094071869993133,9.208209353780422,9.310597390707255,9.402914473182268,9.488517586022734,9.565728236820018,9.637903410391392,9.703364614328219,9.765468833447773,9.825894560158691,9.881284809643699,9.933318074311433,9.983672846570531,10.027313649195083
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,193.0,196.0,199.0,201.0,204.0,207.0,209.0,212.0,214.0,217.0,220.0,222.0,225.0,228.0,230.0,233.0,235.0,238.0,241.0,243.0,246.0,249.0,251.0,254.0,256.0,259.0,262.0,264.0,267.0,269.0,272.0,275.0,277.0,280.0,283.0,285.0,288.0,290.0,293.0,296.0,298.0,301.0,304.0,306.0,309.0,311.0,314.0,317.0,319.0,322.0,325.0,327.0,330.0,332.0,335.0,338.0,340.0,343.0,346.0,348.0,351.0,353.0,356.0,359.0,361.0,364.0,367.0,369.0,372.0,374.0,377.0,380.0,382.0,385.0,387.0
