hydrostatic
testname,hydrostatic
result,PASS
bpressure,2.0477607385366614
sample,Sample E
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,1 min:58 sec
durationsecond,118
testtime,12:54:33
testdate,11/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.10574502174410583,0.12924391546501823,0.15442130159456724,0.18127718013275285,0.20813305867093845,0.23834592202639726,0.26688029297322124,0.29541466392004345,0.32227054245822906,0.36591134508278067,0.4615854123750669,0.5505455100328067,0.6361486228732733,0.7167162584878302,0.7956054016937522,0.8694590676737626,0.9399557488364998,1.010452429999237,1.1631952391851677,1.416647592889296,1.6415655756466005,1.8513771267261756,2.0477607385366614
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0
