hydrostatic
testname,hydrostatic
result,pass
bpressure,4.992507820248722
sample,Tarasafe A
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,5 min:38 sec
durationsecond,338
testtime,16:50:14
testdate,09/02/2021
customerid,N0048
indistry,
application,
splate,
ans,0.15173571374074868,0.22726787212939747,0.3061570153353177,0.3800106813153281,0.4085450522621503,0.43875791561760913,0.47232776379034114,0.5042191195544365,0.5394674601358052,0.5730373083085372,0.6066071564812692,0.6418554970626378,0.6737468528267332,0.7089951934081018,0.7425650415808356,0.7761348897535676,0.8097047379262996,0.8449530785076682,0.8785229266804002,0.9120927748531322,0.9456626230258642,0.9809109636072328,1.0144808117799649,1.0497291523613335,1.0900129701686119,1.1286182955672537,1.1672236209658955,1.207507438773174,1.2444342717631791,1.2847180895704575,1.3216449225604627,1.3602502479591045,1.3988555733577464,1.4391393911650248,1.4760662241550335,1.5129930571450387,1.5532768749523171,1.5902037079423224,1.6271305409323276,1.6640573739223328,1.7043411917296112,1.7395895323109798,1.7781948577096216,1.8151216906996268,1.852048523689632,1.8889753566796372,1.927580682078279,1.9645075150682842,2.0014343480582895,2.041718165865568,2.0853589684901195,2.128999771114671,2.170962081330586,2.212924391546501,2.2565651941710527,2.296849011978331,2.3404898146028827,2.3824521248187978,2.4244144350347128,2.4663767452506278,2.5066605630579097,2.5486228732738248,2.588906691081103,2.630869001297018,2.6711528191042966,2.7131151293202116,2.75339894712749,2.795361257343405,2.833966582742047,2.875928892957962,2.9162127107652402,2.9564965285725187,2.9951018539711605,3.035385671778439,3.0790264744029905,3.1260242618448153,3.1713435568780035,3.220019836728465,3.265339131761653,3.3140154116121145,3.357656214236666,3.4029755092698544,3.4482948043030426,3.495292591744871,3.5389333943694226,3.5859311818112474,3.629571984435799,3.674891279468987,3.718532082093539,3.7621728847180904,3.8074921797512786,3.8511329823758302,3.894773785000382,3.9384145876249335,3.982055390249485,4.025696192874037,4.0726939803158615,4.126405737392233,4.176760509651331,4.228793774319065,4.279148546578163,4.329503318837261,4.378179598687723,4.426855878538184,4.475532158388649,4.524208438239111,4.572884718089572,4.621560997940033,4.668558785381858,4.71723506523232,4.762554360265508,4.811230640115969,4.8565499351491574,4.903547722590982,4.947188525215534,4.992507820248722,5.039505607690547
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,193.0,196.0,199.0,201.0,204.0,207.0,209.0,212.0,214.0,217.0,220.0,222.0,225.0,228.0,230.0,233.0,235.0,238.0,241.0,243.0,246.0,249.0,251.0,254.0,256.0,259.0,262.0,264.0,267.0,269.0,272.0,275.0,277.0,280.0,283.0,285.0,288.0,290.0,293.0,296.0,298.0,301.0,304.0
