hydrostatic
testname,hydrostatic
result,PASS
bpressure,15.011093308918898
sample,abc
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,8 min:0 sec
durationsecond,480
testtime,13:01:14
testdate,18/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.14972152285038476,0.22693217364766838,0.2856794079499494,0.337712672617684,0.4166018158236042,0.5894865339131758,0.7355153734645601,0.8714732585641247,0.9889677271686885,1.0947127489127944,1.2357061112382688,1.4253757534142046,1.5848325322346817,1.6905775539787875,1.7644312199588015,1.829892423895629,1.897032120241093,1.9591363393606471,2.0162050812542915,2.1051651789120314,2.215945677882047,2.321690699626153,2.4190432593270756,2.506324864576179,2.5885709925993723,2.669138628213929,2.7413138017853065,2.8084534981307705,2.873914702067598,2.9376974135957887,2.994766155489433,3.050156404974441,3.1324025329976344,3.2415045395590134,3.3472495613031192,3.4429236285954055,3.5318837262531453,3.6141298542763387,3.6930189974822625,3.7685511558709095,3.8356908522163735,3.901152056153201,3.9615777828641185,4.0203250171664,4.112642099641413,4.230136568245975,4.337560082398717,4.43491264209964,4.525551232166016,4.6128328374151195,4.6883649958037665,4.765575646601054,4.836072327763791,4.901533531700618,4.963637750820173,5.020706492713817,5.114702067597467,5.235553521019302,5.339620050354771,5.440329594872967,5.53264667734798,5.6232852674143565,5.703852903028917,5.779385061417564,5.851560234988938,5.917021438925765,5.979125658045319,6.036194399938964,6.130189974822613,6.251041428244449,6.358464942397191,6.4574959945067505,6.5514915693904,6.6337376974135935,6.7159838254367905,6.789837491416801,6.8586556801709015,6.924116884107729,6.984542610818647,7.039932860303654,7.133928435187304,7.2581368734264124,7.365560387579155,7.466269932097351,7.558587014572364,7.647547112230104,7.7264362554360275,7.800289921416038,7.870786602578775,7.932890821698329,7.989959563591974,8.043671320668345,8.139345387960631,8.261875333791103,8.369298847943845,8.475043869687951,8.569039444571601,8.65799954222934,8.740245670252538,8.814099336232548,8.882917524986649,8.94166475928893,9.00041199359121,9.101121538109407,9.228686961165788,9.342824444953077,9.44521248187991,9.54424353398947,9.634882124055846,9.71880674448768,9.79266041046769,9.854764629587244,9.928618295567254,9.989044022278172,10.04443427176318,10.140108339055466,10.265995269703211,10.376775768673227,10.482520790417333,10.578194857709619,10.667154955367359,10.747722590981919,10.81654077973602,10.887037460898757,10.947463187609674,11.004531929503319,11.103562981612878,11.23616388189517,11.351979858091095,11.449332417792018,11.548363469901577,11.639002059967954,11.716212710765241,11.791744869153888,11.860563057907989,11.926024261844816,11.981414511329824,12.033447775997558,12.129121843289845,12.256687266346226,12.370824750133515,12.471534294651711,12.560494392309451,12.642740520332644,12.723308155947205,12.790447852292669,12.857587548638133,12.91297779812314,12.961654077973602,13.005294880598154,13.087541008621347,13.166430151827267,13.25371175707637,13.361135271229113,13.465201800564582,13.559197375448232,13.643121995880062,13.722011139085986,13.792507820248723,13.859647516594187,13.920073243305104,13.972106507972839,14.022461280231937,14.116456855115587,14.242343785763332,14.35648126955062,14.45551232166018,14.55454337376974,14.63846799420157,14.70896467536431,14.779461356527047,14.844922560463875,14.905348287174792,14.9607385366598,15.011093308918898
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,193.0,196.0,199.0,201.0,204.0,207.0,209.0,212.0,214.0,217.0,220.0,222.0,225.0,228.0,230.0,233.0,235.0,238.0,241.0,243.0,246.0,249.0,251.0,254.0,256.0,259.0,262.0,264.0,267.0,269.0,272.0,275.0,277.0,280.0,283.0,285.0,288.0,290.0,293.0,296.0,298.0,301.0,304.0,306.0,309.0,311.0,314.0,317.0,319.0,322.0,325.0,327.0,330.0,332.0,335.0,338.0,340.0,343.0,346.0,348.0,351.0,353.0,356.0,359.0,361.0,364.0,367.0,369.0,372.0,374.0,377.0,380.0,382.0,385.0,387.0,390.0,393.0,395.0,398.0,401.0,403.0,406.0,408.0,411.0,414.0,416.0,419.0,422.0,424.0,427.0,429.0,432.0,435.0,437.0,440.0,443.0,445.0,448.0,450.0,453.0,456.0
