hydrostatic
testname,hydrostatic
result,PASS
bpressure,10.676218814373998
sample,jhghfgh
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,3 min:12 sec
durationsecond,192
testtime,15:54:24
testdate,19/07/2022
customerid,N0048
lotno,1
dia,5cm
thic,1
indistry,
application,
splate,5cm
ans,0.306492713817045,1.699641412985427,2.9501182574197014,4.09317158770123,5.142229343099109,6.092256046387428,6.941573205157551,7.703608758678568,8.383398184176395,8.982619974059665,9.506309605554284,9.967895017929353,10.367376211184864,10.676218814373998,10.60572213321126,10.563759822995346,10.53186846723125,10.505012588693065,10.483192187380789,10.46305027847715,10.444586861982147,10.429480430304418,10.414373998626688,10.400946059357596,10.387518120088503,10.375768673228047,10.36401922636759,10.35394827191577,10.343877317463951,10.335484855420768,10.325413900968949,10.317021438925766,10.306950484473946,10.3002365148394,10.291844052796217,10.28513008316167,10.276737621118487,10.27002365148394,10.263309681849394,10.256595712214848,10.249881742580301,10.243167772945755,10.238132295719845,10.231418326085299,10.226382848859389,10.219668879224843,10.214633401998933,10.207919432364386,10.202883955138477,10.197848477912567,10.192813000686657,10.187777523460747,10.182742046234837,10.177706569008928,10.172671091783018,10.169314106965745,10.162600137331198,10.159243152513925,10.154207675288015,10.150850690470742,10.147493705653469,10.142458228427559,10.139101243610286,10.134065766384376,10.129030289158466,10.123994811932556
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,152.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0
