hydrostatic
testname,hydrostatic
result,FAIL
bpressure,3.5436331731136015
sample,MAF
fluidname,
fluidvalue,
mode,null
recordy,0.9553978789959547,2.2931563286793306,3.5436331731136015
recordx,52.0,96.0,141.0
duration,3 min:31 sec
durationsecond,211
testtime,12:39:28
testdate,14/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.10272373540855817,0.12286564431219738,0.14300755321583658,0.16147096971083919,0.183291371023115,0.2051117723353908,0.2269321736476666,0.250431067368579,0.2722514686808548,0.2974288548104038,0.3175707637140448,0.3511406118867768,0.43002975509269703,0.505561913481344,0.5743801022354447,0.6448767833981819,0.7086594949263727,0.7741206988632001,0.8362249179827561,0.8983291371023103,0.9553978789959547,1.009109636072326,1.0913557640955194,1.1954222934309886,1.2894178683146382,1.3766994735637432,1.4606240939955732,1.54119172961013,1.6184023804074137,1.688899061570151,1.7593957427328881,1.8248569466697155,1.890318150606543,1.949065384908824,2.004455634393832,2.090058747234302,2.195803768978408,2.2931563286793306,2.3787594415197972,2.464362554360264,2.5449301899748207,2.6171053635461945,2.6876020447089317,2.753063248645759,2.8185244525825865,2.875593194476231,2.9326619363698754,2.98469520103761,3.035049973296708,3.112260624093995,3.2163271534294644,3.3086442359044774,3.390890363927671,3.469779507133591,3.5436331731136015
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0
