hydrostatic
testname,hydrostatic
result,FAIL
bpressure,8.469672693980314
sample,nvbn
fluidname,
fluidvalue,
mode,null
recordy,8.14572365911345,8.32867933165484,8.469672693980314
recordx,212.0,214.0,217.0
duration,4 min:1 sec
durationsecond,241
testtime,17:21:45
testdate,19/07/2022
customerid,N0048
lotno,2
dia,5cm
thic,1
indistry,
application,
splate,
ans,0.17456321049820644,0.3205920500495907,0.4481574731059723,0.5690089265278075,0.6764324406805517,0.7687495231555648,0.8509956511787582,0.9248493171587686,0.9886320286869594,1.0423437857633306,1.1648737315938025,1.342793926909284,1.4888227664606681,1.6147096971084132,1.7221332112611556,1.8161287861448052,1.9000534065766352,1.9755855649652858,2.03768978408484,2.160219729915312,2.336461432822155,2.4774547951476293,2.5983062485694646,2.7074082551308436,2.7963683527885834,2.873579003585867,2.939040207522698,2.997787441824979,3.048142214084077,3.1723506523231855,3.346913862821392,3.48119325551232,3.595330739299609,3.694361791409168,3.783321889066908,3.855497062638282,3.919279774166476,3.971313038834211,4.019989318684672,4.147554741741054,4.328831921873807,4.474860761425191,4.587319752803843,4.688029297322039,4.776989394979779,4.852521553368426,4.919661249713894,4.976729991607538,5.0254062714579995,5.1512932021057445,5.322499427786678,5.461814297703516,5.582665751125351,5.68169680323491,5.768978408484013,5.842832074464024,5.908293278400851,5.962005035477226,6.009002822919051,6.129854276340886,6.316166933699549,6.460517280842296,6.578011749446858,6.675364309147781,6.759288929579611,6.8297856107423485,6.893568322270539,6.947280079346914,6.994277866788739,7.032883192187381,7.153734645609216,7.3316548409246955,7.469291218432897,7.580071717402912,7.674067292286562,7.757991912718392,7.828488593881129,7.885557335774774,7.9392690928511485,7.9829098954757,8.019836728465705,8.14572365911345,8.32867933165484,8.469672693980314
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,193.0,196.0,199.0,201.0,204.0,207.0,209.0,212.0,214.0,217.0
