hydrostatic
testname,hydrostatic
result,FAIL
bpressure,1.0027313649195069
sample,sample A
fluidname,
fluidvalue,
mode,null
recordy,0.6569619287403654,0.896986343175401,1.0027313649195069
recordx,20.0,26.0,28.0
duration,1 min:7 sec
durationsecond,67
testtime,12:34:44
testdate,11/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.1198443579766515,0.1584496833752933,0.19873350118257171,0.2406958113984885,0.2860151064316767,0.3279774166475917,0.38504615854123614,0.524361028458074,0.6569619287403654,0.779491874570839,0.896986343175401,1.0027313649195069
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0
