hydrostatic
testname,hydrostatic
result,PASS
bpressure,16.28003356984817
sample,sample B
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,1 min:42 sec
durationsecond,102
testtime,12:29:12
testdate,11/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.12790112153810718,0.183291371023115,0.2386816205081228,0.2991073472190422,0.3528191042954134,0.42835126268406043,0.5995574883649937,0.7489433127336511,0.8899366750591273,1.0225375753414188,1.2961318379491864,1.7191119249256097,2.093415732051575,2.598641947051192,3.2616464484626526,4.013611047531853,5.071061264972915,6.38364232852674,7.932890821698326,9.655024032959485,11.499687190051116,12.970046540016781,14.703929198138397,16.28003356984817
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0
