hydrostatic
testname,hydrostatic
result,PASS
bpressure,7.5374380102235445
sample,sample C
fluidname,
fluidvalue,
mode,null
recordy,4.4725108720531015,5.202655069810026
recordx,52.0,55.0
duration,1 min:47 sec
durationsecond,107
testtime,12:40:47
testdate,11/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.12018005645838059,0.1554283970397492,0.1923552300297544,0.23431754024566942,0.2746013580529496,0.3165636682688646,0.38538185702296524,0.5196612497138933,0.6472266727702749,0.7663996337834753,0.8822156099794007,0.98628213931487,1.0836346990157928,1.308552681773099,1.6593575951781485,1.9715571831845562,2.251865415426872,2.6580605783169293,3.1851071946288254,3.7893644617380016,4.4725108720531015,5.202655069810026,6.085542076752882,6.9936064698252824,7.5374380102235445
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,21.0,23.0,26.0,28.0,31.0,34.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,55.0,57.0,60.0,62.0
