hydrostatic
testname,hydrostatic
result,FAIL
bpressure,4.824994277866788
sample,sample D
fluidname,
fluidvalue,
mode,null
recordy,3.7054398413061715,4.240878919661251,4.824994277866788
recordx,65.0,68.0,70.0
duration,2 min:3 sec
durationsecond,123
testtime,12:50:34
testdate,11/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.11682307164110739,0.1386434729533832,0.1621423666742956,0.1923552300297544,0.22256809338521322,0.2544594491493104,0.2846723125047692,0.3165636682688646,0.35684748607614303,0.46259250782024885,0.5565880827038985,0.6455481803616383,0.7328297856107415,0.8167544060425733,0.8990005340657667,0.9745326924544138,1.0467078660257876,1.2179140917067208,1.4881513694972153,1.7281757839322491,1.9547722590981902,2.162905317769132,2.4767833981841765,2.886335545891507,3.250568398565653,3.7054398413061715,4.240878919661251,4.824994277866788
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0
