hydrostatic
testname,hydrostatic
result,FAIL
bpressure,3.3707484550240334
sample,sample G
fluidname,
fluidvalue,
mode,null
recordy,2.6573891813534747,2.94105439841306,3.3707484550240334
recordx,117.0,131.0,146.0
duration,3 min:39 sec
durationsecond,219
testtime,16:44:17
testdate,12/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.11279468986037955,0.12957961394674555,0.14468604562447496,0.16314946211947756,0.17993438620584357,0.20007629510948277,0.21853971160448538,0.23700312809948798,0.2554665445944906,0.2739299610894932,0.2923933775844958,0.3125352864881368,0.341069657434959,0.4132448310063328,0.4787060349431602,0.542488746471351,0.6062714579995419,0.6666971847104595,0.7237659266041039,0.7825131609063849,0.8379034103913945,0.8932936598764023,0.9470054169527735,0.9990386816205081,1.0493934538796061,1.1266041046768898,1.2273136491950858,1.317952239261464,1.401876859693294,1.4841229877164874,1.561333638513771,1.6351873044937815,1.7056839856565187,1.771145189593346,1.8332494087129003,1.8919966430151813,1.9490653849088257,2.002777141985197,2.0867017624170305,2.1907682917524998,2.281406881818876,2.3686884870679794,2.445899137865263,2.52143129625391,2.5902494850080107,2.6573891813534747,2.7211718928816655,2.7799191271839465,2.8353093766689543,2.890699626153962,2.94105439841306,2.9863736934462484,3.0316929884794366,3.1055466544594506,3.20457770656901,3.2901808194094766,3.3707484550240334
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0
