hydrostatic
testname,hydrostatic
result,
bpressure,5.925017166399634
sample,ss
fluidname,Water
fluidvalue,72.0
mode,Mode 3
duration,0 min:56 sec
durationsecond,56
testtime,13:54:53
testdate,14/07/2020
customerid,N0048
indistry,Protective Wear
application,PPE
splate,Medium
p1,0.0010986495765621424,8.239871824216068E-4,0.0010986495765621424,0.0010986495765621424,8.239871824216068E-4,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,8.239871824216068E-4,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,8.239871824216068E-4,8.239871824216068E-4,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,8.239871824216068E-4,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424
ans,0.0010986495765621424,8.239871824216068E-4,0.0010986495765621424,0.0010986495765621424,8.239871824216068E-4,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,8.239871824216068E-4,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,8.239871824216068E-4,8.239871824216068E-4,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,8.239871824216068E-4,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424,0.0010986495765621424
t,5.0,6.0,7.0,8.0,8.0,9.0,10.0,11.0,11.0,12.0,13.0,14.0,14.0,15.0,16.0,17.0,17.0,18.0,19.0,20.0,20.0,21.0,22.0,23.0,23.0,24.0,25.0,26.0,26.0,27.0,28.0,29.0,29.0,30.0,31.0,32.0,33.0,33.0,34.0,35.0,36.0,36.0,37.0,38.0,39.0,39.0,40.0,41.0,42.0,42.0,43.0,44.0,45.0,45.0,46.0,47.0,48.0,48.0,49.0,50.0,51.0,51.0,52.0,53.0,54.0,54.0,55.0
