hydrostatic
testname,hydrostatic
result,PASS
bpressure,2.0151979858091096
sample,sss
fluidname,
fluidvalue,
mode,null
recordy,2.0118410009918364,2.013519493400473
recordx,123.0,125.0
duration,3 min:34 sec
durationsecond,214
testtime,14:24:24
testdate,09/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.2628519111924916,0.4407721065079713,0.6019073777370849,0.7412222476539245,0.8687876707103062,0.9946746013580512,1.1037766079194302,1.204486152437628,1.2951247425040044,1.380727855344471,1.456260013733118,1.523399710078582,1.5838254367894997,1.6476081483176905,1.6946059357595153,1.7399252307927036,1.7835660334172552,1.813778896772714,1.8439917601281728,1.872526131074995,1.8993820096131806,1.92120241092546,1.9447013046463724,1.9530937666895554,1.9682001983672848,1.9816281376363776,1.988342107270924,1.9984130617227436,2.0068055237659266,2.0151979858091096,2.013519493400473,2.013519493400473,2.013519493400473,2.013519493400473,2.013519493400473,2.013519493400473,2.013519493400473,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.013519493400473,2.013519493400473,2.0118410009918364,2.0118410009918364,2.013519493400473,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.013519493400473,2.013519493400473,2.0118410009918364,2.0118410009918364,2.013519493400473,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.0118410009918364,2.013519493400473,2.0118410009918364,2.0118410009918364,2.013519493400473,2.013519493400473,2.0118410009918364,2.0118410009918364
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,152.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0
