hydrostatic
testname,hydrostatic
result,PASS
bpressure,15.018142977035168
sample,BLACK
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,6 min:57 sec
durationsecond,417
testtime,13:01:32
testdate,14/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.1332722972457443,0.1752346074616593,0.21551842526893772,0.25412375066757953,0.2977645532921329,0.3330128938735015,0.38504615854123614,0.5042191195544348,0.6149996185244504,0.7207446402685562,0.8147402151522076,0.905378805218584,0.9893034256504141,1.073228046082244,1.1840085450522597,1.3266803997863725,1.4542458228427542,1.5717402914473162,1.685877775234605,1.7882658121614377,1.8856183718623605,1.9745784695201003,2.0601815823605705,2.1726405737392227,2.318669413290607,2.4512703135728984,2.5721217669947336,2.6829022659647492,2.7836118104829453,2.8792858777752315,2.964888990615698,3.0454566262302585,3.161272602426184,3.307301441977568,3.441580834668496,3.559075303273058,3.669855802243074,3.7722438391699065,3.866239414053556,3.9535210193026593,4.034088654917216,4.151583123521782,4.297611963073166,4.431891355764094,4.551064316777293,4.660166323338672,4.764232852674141,4.853192950331881,4.943831540398257,5.022720683604177,5.1418936446173795,5.2896009765774,5.427237354085602,5.55144579232471,5.660547798886089,5.764614328221558,5.8602883955138445,5.945891508354311,6.024780651560231,6.14563210498207,6.300053406576637,6.439368276493475,6.561898222323947,6.671000228885326,6.775066758220795,6.867383840695808,6.9546654459449115,7.033554589150832,7.152727550164034,7.312184328984511,7.448142214084076,7.565636682688638,7.676417181658653,7.778805218585486,7.869443808651862,7.951689936675056,8.025543602655066,8.146395056076905,8.305851834897382,8.443488212405583,8.566018158236055,8.678477149614707,8.777508201724267,8.86982528419928,8.952071412222473,9.02760357061112,9.151812008850232,9.312947280079346,9.447226672770274,9.569756618600746,9.672144655527578,9.766140230411228,9.853421835660331,9.932310978866251,10.002807660028989,10.125337605859464,10.28982986190585,10.429144731822689,10.55167467765316,10.66077668421454,10.756450751506826,10.843732356755929,10.92262149996185,10.994796673533223,11.063614862287327,11.179430838483253,11.340566109712366,11.471488517586021,11.587304493781946,11.688014038300143,11.785366598001065,11.869291218432895,11.94146639200427,12.008606088349733,12.127779049362935,12.292271305409322,12.43158617532616,12.550759136339359,12.654825665674828,12.747142748149841,12.832745860990308,12.906599526970318,12.970382238498509,13.02912947280079,13.141588464179446,13.304402227817196,13.43532463569085,13.54946211947814,13.646814679179062,13.734096284428166,13.812985427634086,13.886839093614096,13.952300297550924,14.009369039444568,14.121828030823224,14.282963302052337,14.412207217517356,14.524666208896008,14.618661783779658,14.704264896620124,14.779797055008771,14.848615243762872,14.912397955291063,14.966109712367434,15.018142977035168
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,193.0,196.0,199.0,201.0,204.0,207.0,209.0,212.0,214.0,217.0,220.0,222.0,225.0,228.0,230.0,233.0,235.0,238.0,241.0,243.0,246.0,249.0,251.0,254.0,256.0,259.0,262.0,264.0,267.0,269.0,272.0,275.0,277.0,280.0,283.0,285.0,288.0,290.0,293.0,296.0,298.0,301.0,304.0,306.0,309.0,311.0,314.0,317.0,319.0,322.0,325.0,327.0,330.0,332.0,335.0,338.0,340.0,343.0,346.0,348.0,351.0,353.0,356.0,359.0,361.0,364.0,367.0,369.0,372.0,374.0,377.0
