hydrostatic
testname,hydrostatic
result,PASS
bpressure,19.613519493400474
sample,CoatedGreen
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,6 min:47 sec
durationsecond,407
testtime,16:02:54
testdate,15/07/2022
customerid,N0048
indistry,
application,
splate,
ans,0.14804303044174816,0.19504081788357297,0.2504310673685808,0.2940718699931324,0.337712672617684,0.39981689173724,0.534096284428168,0.6566262302586399,0.7707637140459287,0.8765087357900345,0.9772182803082323,1.0695353627832453,1.2122072175173564,1.3951628900587476,1.5562981612878612,1.7023270008392455,1.8382848859388101,1.9591363393606454,2.0715953307392976,2.2243381399252318,2.420721751735714,2.5835355153734643,2.7295643549248485,2.8604867627985033,2.9779812314030654,3.083726253147171,3.2364690623331054,3.427817196917678,3.5923094529640647,3.7400167849240855,3.8659037155718305,3.981719691767756,4.084107728694589,4.241886015106433,4.428198672465095,4.585976958876936,4.7252918287937735,4.846143282215609,4.956923781185624,5.05763332570382,5.207019150072481,5.395010299839781,5.556145571068894,5.697138933394369,5.821347371633477,5.935484855420766,6.037872892347599,6.192294193942169,6.390356298161288,6.558205539024948,6.700877393759059,6.830121309224078,6.94258030060273,7.043289845120926,7.199389639124133,7.3957732509346155,7.560265506981002,7.702937361715113,7.830502784771495,7.942961776150147,8.04534981307698,8.203128099488824,8.399511711299306,8.567360952162966,8.715068284122987,8.840955214770732,8.951735713740748,9.047409781033034,9.206866559853514,9.404928664072633,9.572777904936293,9.717128252079041,9.84133669031815,9.950438696879528,10.049469748989088,10.210605020218205,10.41538109407187,10.586587319752804,10.732616159304188,10.856824597543296,10.967605096513312,11.064957656214235,11.226092927443352,11.430869001297017,11.598718242160677,11.738033112077515,11.862241550316623,11.973022049286639,12.068696116578925,12.231509880216679,12.434607461661708,12.605813687342641,12.743450064850842,12.865980010681314,12.975082017242693,13.064042114900433,13.226855878538187,13.434988937209125,13.607873655298695,13.750545510032806,13.873075455863278,13.982177462424657,14.072816052491033,14.232272831311514,14.442084382391089,14.609933623254749,14.750926985580223,14.870099946593422,14.974166475928891,15.063126573586631,15.222583352407112,15.434073395895323,15.606958113984893,15.746272983901731,15.86544594491493,15.966155489433126,16.051758602273594,16.217929350728618,16.432776379034102,16.6023041123064,16.743297474631873,16.86414892805371,16.963179980163268,17.05046158541237,17.21327534905013,17.42476539253834,17.590936140993364,17.728572518501565,17.841031509880217,17.93838406958114,18.020630197604333,18.18008697642481,18.391577019913022,18.55606927595941,18.683634699015798,18.78602273594263,18.86994735637446,18.942122529945834,18.997512779430842,19.046189059281303,19.173754482337685,19.360067139696348,19.490989547570003,19.511131456473642,19.613519493400474
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,33.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,54.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,75.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,96.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,117.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,138.0,141.0,144.0,146.0,149.0,151.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,172.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,193.0,196.0,199.0,201.0,204.0,207.0,209.0,212.0,214.0,217.0,220.0,222.0,225.0,228.0,230.0,233.0,235.0,238.0,241.0,243.0,246.0,249.0,251.0,254.0,256.0,259.0,262.0,264.0,267.0,270.0,272.0,275.0,277.0,280.0,283.0,285.0,288.0,290.0,293.0,296.0,298.0,301.0,304.0,306.0,309.0,311.0,314.0,317.0,319.0,322.0,325.0,327.0,330.0,332.0,335.0,338.0,340.0,343.0,346.0,348.0,351.0,353.0,356.0,359.0,361.0,364.0,367.0,369.0,372.0,374.0,377.0
