hydrostatic
testname,hydrostatic
result,PASS
bpressure,14.009704737926295
sample,tarsafe
fluidname,
fluidvalue,
mode,null
recordy,
recordx,
duration,7 min:57 sec
durationsecond,477
testtime,17:33:58
testdate,19/07/2022
customerid,N0048
lotno,1
dia,5cm
thic,1
indistry,
application,
splate,
ans,0.12185854886701541,0.20242618448157224,0.28970778973067546,0.37531090257114386,0.4625925078202471,0.5498741130693503,0.6321202410925437,0.7059739070725541,0.7764705882352914,0.8419317921721206,0.9006790264744016,0.9594262607766826,1.0114595254444172,1.1188830395971596,1.268268863965817,1.3991912718394737,1.5133287556267625,1.6224307621881415,1.7164263370717912,1.8037079423208944,1.8842755779354512,1.9530937666895518,2.0168764782177426,2.1326924544136716,2.2887922484168755,2.4197146562905303,2.533852140077819,2.639597161821925,2.731914244296938,2.815838864728768,2.886335545891505,2.9534752422369692,3.008865491721977,3.1263599603265426,3.2824597543297465,3.4167391470206745,3.52751964599069,3.633264667734796,3.725581750209809,3.804470893415729,3.8749675745784664,3.9387502861066572,3.9958190280003016,4.04113832303349,4.151918822003509,4.311375600823986,4.4439765011062775,4.559792477302203,4.653788052185853,4.737712672617683,4.81324483100633,4.88206301976043,4.942488746471348,4.996200503547719,5.0448767833981805,5.157335774776836,5.3201495384145865,5.456107423514151,5.56520943007553,5.65920500495918,5.741451132982373,5.813626306553747,5.882444495307848,5.9378347447928554,5.98986800946059,6.036865796902415,6.1459678034637975,6.307103074692911,6.438025482566566,6.545448996719308,6.637766079194321,6.721690699626151,6.792187380788889,6.857648584725716,6.911360341802087,6.963393606469822,7.0036774242771,7.116136415655756,7.27727168688487,7.401480125123978,7.5089036392767206,7.60793469138628,7.685145342183564,7.758999008163574,7.822781719691765,7.876493476768136,7.930205233844507,7.970489051651786,8.009094377050427,8.121553368429083,8.284367132066834,8.416968032349125,8.52271305409323,8.618387121385517,8.697276264591437,8.767772945754174,8.826520180056455,8.87855344472419,8.930586709391925,8.974227512016476,9.009475852597845,9.118577859159227,9.286427100022888,9.420706492713816,9.526451514457921,9.620447089341571,9.695979247730218,9.768154421301592,9.825223163195236,9.875577935454334,9.924254215304796,9.961181048294801,9.994750896467533,10.029999237048902,10.137422751201647,10.303593499656671,10.436194399938962,10.536903944457158,10.622507057297625,10.701396200503545,10.766857404440373,10.825604638742654,10.872602426184478,10.919600213626303,10.953170061799035,10.986739909971767,11.0203097581445,11.129411764705882,11.293904020752269,11.42650492103456,11.532249942778666,11.617853055619133,11.69338521400778,11.75213244831006,11.807522697795068,11.849485008010983,11.891447318226898,11.931731136034177,11.963622491798272,11.990478370336458,12.015655756466007,12.11972228580148,12.290928511482413,12.420172426947431,12.517524986648354,12.601449607080184,12.675303273060194,12.732372014953839,12.789440756847483,12.833081559472035,12.873365377279313,12.913649195086592,12.94386205844205,12.970717936980236,12.997573815518422,13.017715724422061,13.11842526894026,13.29130998702983,13.418875410086212,13.519584954604408,13.603509575036238,13.672327763790339,13.729396505683983,13.786465247577627,13.82507057297627,13.863675898374911,13.900602731364916,13.925780117494465,13.949279011215378,13.97277790493629,13.994598306248566,14.009704737926295
t,0.0,2.0,5.0,7.0,10.0,13.0,15.0,18.0,21.0,23.0,26.0,28.0,31.0,34.0,36.0,39.0,41.0,44.0,47.0,49.0,52.0,55.0,57.0,60.0,62.0,65.0,68.0,70.0,73.0,76.0,78.0,81.0,83.0,86.0,89.0,91.0,94.0,97.0,99.0,102.0,104.0,107.0,110.0,112.0,115.0,118.0,120.0,123.0,125.0,128.0,131.0,133.0,136.0,139.0,141.0,144.0,146.0,149.0,152.0,154.0,157.0,159.0,162.0,165.0,167.0,170.0,173.0,175.0,178.0,180.0,183.0,186.0,188.0,191.0,194.0,196.0,199.0,201.0,204.0,207.0,209.0,212.0,215.0,217.0,220.0,222.0,225.0,228.0,230.0,233.0,236.0,238.0,241.0,243.0,246.0,249.0,251.0,254.0,257.0,259.0,262.0,264.0,267.0,270.0,272.0,275.0,277.0,280.0,283.0,285.0,288.0,291.0,293.0,296.0,298.0,301.0,304.0,306.0,309.0,312.0,314.0,317.0,319.0,322.0,325.0,327.0,330.0,333.0,335.0,338.0,340.0,343.0,346.0,348.0,351.0,354.0,356.0,359.0,361.0,364.0,367.0,369.0,372.0,375.0,377.0,380.0,382.0,385.0,388.0,390.0,393.0,395.0,398.0,401.0,403.0,406.0,409.0,411.0,414.0,416.0,419.0,422.0,424.0,427.0,430.0,432.0,435.0,437.0,440.0,443.0,445.0,448.0
